County,Precinct Number,Location,Address,Zipcode
Charlotte,45,Tringali Park,"3460 N Access Rd, Englewood, FL",34224
Charlotte,46,Holy Trinity Greek Orthodox Church,"24411 Rampart Blvd, Port Charlotte, FL",33980
Charlotte,47,L.A. Ainger Middle School,"245 Cougar Way, Rotonda West, FL",33947
Charlotte,48,Deep Creek Elementary School,"26900 Harborview Rd, Port Charlotte, FL",33983
Charlotte,49,Deep Creek Elementary School,"26900 Harborview Rd, Port Charlotte, FL",33983
Charlotte,52,Centennial Park,"1120 Centennial Blvd, Port Charlotte, FL",33953
Charlotte,53,Tringali Park,"3460 N Access Rd, Englewood, FL",34224
Charlotte,54,Liberty Elementary School,"370 Atwater St, Port Charlotte, FL",33954
Charlotte,55,American Legion Post #113,"3436 Indiana Rd, Rotonda West, FL",33947
Charlotte,56,Holy Trinity Greek Orthodox Church,"24411 Rampart Blvd, Port Charlotte, FL",33980
Charlotte,57,Meadow Park Elementary School,"750 Essex Ave, Port Charlotte, FL",33948
Charlotte,58,Centennial Park,"1120 Centennial Blvd, Port Charlotte, FL",33953
Charlotte,60,South County Regional Park,"670 Cooper St, Punta Gorda, FL",33950
Charlotte,61,Myakka River Elementary School,"12650 Wilmington Blvd, Port Charlotte, FL",33981
Charlotte,63,Holy Trinity Greek Orthodox Church,"24411 Rampart Blvd, Port Charlotte, FL",33980
Charlotte,64,Congregational United Church of Christ,"1201 Aqui Esta Dr, Punta Gorda, FL",33950
Charlotte,66,South County Regional Park,"670 Cooper St, Punta Gorda, FL",33950
Charlotte,67,S Punta Gorda Heights Civic Assn,"11200 First Ave, Punta Gorda, FL",33955
Charlotte,68,S Punta Gorda Heights Civic Assn,"11200 First Ave, Punta Gorda, FL",33955
Charlotte,69,S Punta Gorda Heights Civic Assn,"11200 First Ave, Punta Gorda, FL",33955
Charlotte,75,Port Charlotte Middle School,"23000 Midway Blvd, Port Charlotte, FL",33952
Charlotte,77,L.A. Ainger Middle School,"245 Cougar Way, Rotonda West, FL",33947
Charlotte,78,American Legion Post #113,"3436 Indiana Rd, Rotonda West, FL",33947
Charlotte,80,Tringali Park,"3460 N Access Rd, Englewood, FL",34224
Citrus,100,RED LEVEL BAPTIST CHURCH,"11025 W Dunnellon Rd, Crystal River, FL",34428
Citrus,101,CRYSTAL RIVER COMMUNITY CHURCH,"4801 N Citrus Ave, Crystal River, FL",34428
Citrus,102,SPRINGS PRESBYTERIAN CHURCH,"1060 W Withlacoochee Tr, Citrus Springs, FL",34434
Citrus,103,CITRUS SPRINGS CHURCH OF GOD,"9921 N Deltona Blvd, Citrus Springs, FL",34434
Citrus,104,FIRST BAPTIST CHURCH OF C.R.,"700 Citrus Ave, Crystal River, FL",34428
Citrus,105,CRYSTAL RIVER CHURCH OF GOD,"2180 NW 12th Ave, Crystal River, FL",34428
Citrus,107,CRYSTAL OAKS CLUBHOUSE,"4958 W Crystal Oaks Dr, Lecanto, FL",34461
Citrus,108,FIRST BAPTIST CHURCH OF BEVERLY HILLS,"4950 N Lecanto Hwy, Beverly Hills, FL",34465
Citrus,109,PINE RIDGE COMMUNITY BUILDING,"5690 W Pine Ridge Blvd, Beverly Hills, FL",34465
Citrus,110,CITRUS SPG COMMUNITY CENTER,"1570 W Citrus Springs Blvd, Citrus Springs, FL",34433
Citrus,200,QUAIL RUN COMMUNITY BUILDING,"1490 E Redpoll TRL, Hernando, FL",34442
Citrus,201,HERNANDO UNITED METHODIST CH,"2125 E Norvell Bryant HWY, Hernando, FL",34442
Citrus,203,CENTRAL RIDGE LIBRARY,"425 W Roosevelt Blvd, Beverly Hills, FL",34465
Citrus,204,KNIGHTS OF COLUMBUS,"2389 W Norvell Bryant HWY, Lecanto, FL",34461
Citrus,205,CENTRAL RIDGE COMMUNITY CENTER,"77 Civic Cir, Beverly Hills, FL",34465
Citrus,206,OUR LADY OF GRACE CHURCH,"6 Roosevelt Blvd, Beverly Hills, FL",34465
Citrus,208,GOOD SHEPHERD LUTHERAN,"439 E Norvell Bryant HWY, Hernando, FL",34442
Citrus,209,ART CENTER OF CITRUS COUNTY,"2644 N Annapolis Ave, Hernando, FL",34442
Citrus,210,HERNANDO SDA CHURCH,"1880 N Trucks Ave, Hernando, FL",34442
Citrus,300,COLLEGE OF CENTRAL FLORIDA (CF),"3800 S Lecanto Hwy, Lecanto, FL",34461
Citrus,301,NATIONAL GUARD ARMORY,"8551 W Venable St, Crystal River, FL",34429
Citrus,302,FRIENDS OF CITRUS,"8471 W Periwinkle Ln, Homosassa, FL",34446
Citrus,305,CHRISTIAN CENTER CHURCH,"7961 W Green Acres St, Homosassa, FL",34448
Citrus,307,HOMOSASSA METHODIST CHURCH,"8831 W Bradshaw St, Homosassa, FL",34448
Citrus,400,FIRST BAPTIST CHURCH INVERNESS,"550 Pleasant Grove Rd, Inverness, FL",34452
Citrus,402,CHURCH OF THE NAZARENE,"2101 N Florida Ave, Hernando, FL",34442
Citrus,403,INVERNESS GOVERNMENT CENTER,"212 W Main St, Inverness, FL",34450
Citrus,404,TOOFAR at POINT O WOODS,"9228 E Gospel Island Rd, Inverness, FL",34450
Citrus,405,CITRUS COUNTY AUDITORIUM,"3610 S Florida Ave, Inverness, FL",34452
Citrus,406,REDEMPTION POINT AG,"4201 S Pleasant Grove Rd, Inverness, FL",34452
Citrus,407,FLORAL CITY METHODIST CHURCH,"8478 E Marvin St, Floral City, FL",34436
Citrus,408,FLORAL CITY LIONS CLUB,"8370 E Orange Ave, Floral City, FL",34436
Clay,100,Clay Hill Baptist Church,"6054 County Road 218, Jacksonville, FL",32234
Clay,102,VFW Post # 8255,"2296 Aster Ave, Middleburg, FL",32068
Clay,106,Cornerstone Baptist Church,"20 Cinnamon St, Middleburg, FL",32068
Clay,110,Middleburg Civic Center,"2102 Palmetto St, Middleburg, FL",32068
Clay,112,Clay County Utility Authority,"3176 Old Jennings Rd, Middleburg, FL",32068
Clay,113,Oakleaf Baptist Church,"800 Oakleaf Plantation Pkwy, Orange Park, FL",32065
Clay,115,Oakleaf Plantation Athletic Center,"370 Oakleaf Village Pkwy, Orange Park, FL",32065
Clay,116,Argyle Elementary,"2625 Spencer Plantation Blvd, Orange Park, FL",32073
Clay,118,Asbury United Methodist Church,"16 College Dr, Orange Park, FL",32065
Clay,122,Advent Lutheran Church,"2156 Loch Rane Blvd, Orange Park, FL",32073
Clay,124,Advent Lutheran Church,"2156 Loch Rane Blvd, Orange Park, FL",32073
Clay,128,Calvary Methodist Church,"112 Blanding Blvd, Orange Park, FL",32073
Clay,202,Police Athletic League of Clay County,"450 Woodside Dr, Orange Park, FL",32073
Clay,204,Outreach of America,"236 Industrial Loop E., Orange Park, FL",32073
Clay,206,Orange Park Town Hall,"2042 Park Ave, Orange Park, FL",32073
Clay,208,The Club Continental,"2143 Astor Ave, Orange Park, FL",32073
Clay,210,Orange Park Library,"2054 Plainfield Ave, Orange Park, FL",30273
Clay,216,Lakeside Church of Christ,"2539 Moody Ave, Orange Park, FL",32073
Clay,218,Orange Park Christian Church,"2876 Moody Ave, Orange Park, FL",32073
Clay,302,Thrasher-Horne Center,"283 College Dr, Orange Park, FL",32065
Clay,304,Clay County Salvation Army,"2795 County Rd 220, Middleburg, FL",32068
Clay,308,Fraternal Order of the Police Lodge #104,"2547 County Road 220, Middleburg, FL",32068
Clay,310,Clay County Shrine Club,"2471 Russell Rd, Grn Cv Spgs, FL",32043
Clay,400,Orange Cove Seventh Day Adventist,"4501 Highway 17, Fleming Island, FL",32003
Clay,406,Eagle Harbor Soccer Club,"4387 Lakeshore Dr, Fleming Island, FL",32003
Clay,408,Crossroad Lutheran Church,"5101 W Lakeshore Dr, Fleming Island, FL",32003
Clay,410,Fleming Island Splash Park,"1510 Calming Water Dr, Fleming Island, FL",32003
Clay,412,River Christian Church,"5900 Highway 17, Fleming Island, FL",32003
Clay,414,Hibernia Baptist Church,"7100 US 17, Fleming Island, FL",32003
Clay,500,Pinewood Presbyterian Church,"198 Knight Boxx Rd, Middleburg, FL",32068
Clay,503,First Baptist Church of Middleburg,"2645 Blanding Blvd, Middleburg, FL",32068
Clay,504,Lake Asbury Community Center,"282 Branscomb Rd, Grn Cv Spgs, FL",32043
Clay,506,Black Creek Church of Christ,"3216 County Rd 218, Middleburg, FL",32068
Clay,508,South Middleburg Baptist Church,"4565 Alligator Blvd, Middleburg, FL",32050
Clay,600,Russell Baptist Church,"2299 Sandridge Rd, Grn Cv Spgs, FL",32043
Clay,601,Clay County Agricultural Center,"2463 FL 16 W, Grn Cv Spgs, FL",32043
Clay,602,Green Cove Springs City Hall,"321 Walnut St, Grn Cv Spgs, FL",32043
Clay,604,Green Cove Springs City Hall,"321 Walnut St, Grn Cv Spgs, FL",32043
Clay,606,First Presbyterian Church,"300 N Gum St., Grn Cv Spgs, FL",32043
Clay,608,Green Cove Springs Church of Christ,"3650 Russell Rd, Green Cove Springs, FL",32043
Clay,610,Shiloh Baptist Church,"1055 County Rd 226, Grn Cv Spgs, FL",32043
Clay,612,Shiloh Baptist Church,"1055 County Rd 226, Grn Cv Spgs, FL",32043
Clay,700,Kingsley Lake Civic Center,"6110 Kingsley Lake Dr, Starke, FL",32091
Clay,702,Keystone Heights City Hall,"555 S Lawrence Blvd, Keystone Hts, FL",32656
Clay,704,First Baptist Church of Keystone Heights,"550 E Walker Dr, Keystone Hts, FL",32656
Clay,706,Freedom Baptist Church,"7207 Highway 21, Keystone Hts, FL",32656
Clay,708,Gadara Baptist Church,"6779 County Road 315C, Keystone Heights, FL",32656
Clay,710,Penney Farms Town Hall,"4100 Clark Ave, Penney Farms, FL",32079
Collier,101,West Wind Estates Comm Bldg,"301 Joseph Ln, Naples, FL",34114
Collier,102,Everglades City Hall,"102 Copeland Ave N, Everglades City, FL",34139
Collier,103,First Haitian Baptist Church,"14600 Tamiami Trl E, Naples, FL",34114
Collier,132,New Hope Ministries,"7665 Davis Blvd, Naples, FL",34104
Collier,141,Hitching Post Recreation Hall,"100 Barefoot Williams Rd, Naples, FL",34113
Collier,142,Isles of Capri Community Center,"338 Capri Blvd, Naples, FL",34113
Collier,144,Shepherd of the Glades Church,"6020 Rattlesnake Hammock Rd, Naples, FL",34113
Collier,145,Florida Sports Park,"8520 Rattlesnake Hammock Rd, Naples, FL",34114
Collier,150,Verona Walk Town Center,"8090 Sorrento Ln, Naples, FL",34114
Collier,155,South Regional Library,"8065 Lely Cultural Pkwy, Naples, FL",34113
Collier,156,Eagle Lakes Community Park,"11565 Tamiami Trl E, Naples, FL",34113
Collier,159,The Club & Spa at Fiddler's Creek,"3470 Club Center Blvd, Naples, FL",34114
Collier,189,Goodland Community Center,"417 Mango Ave, Goodland, FL",34140
Collier,190,Marco Presbyterian Church,"875 W Elkcam Cir, Marco Island, FL",34145
Collier,193,Wesley United Methodist Church,"350 S Barfield Dr, Marco Island, FL",34145
Collier,194,Marco Lutheran Church,"525 N Collier Blvd, Marco Island, FL",34145
Collier,202,North Collier Fire Admin HQ,"1885 Veterans Park Dr, Naples, FL",34109
Collier,203,Vanderbilt Presbyterian Church,"1225 Piper Blvd, Naples, FL",34110
Collier,204,North Collier Regional Park,"15000 Livingston Rd, Naples, FL",34109
Collier,205,First Congregational Church of Naples,"6630 Immokalee Rd, Naples, FL",34119
Collier,221,Summit Church,"15220 Tamiami Trl N, Naples, FL",34110
Collier,222,Grow Church,"15300 Tamiami Trl N, Naples, FL",34110
Collier,223,St. John the Evangelist,"625 111th Ave N, Naples, FL",34108
Collier,242,Village Walk Community Center,"3200 Village Walk Cir, Naples, FL",34109
Collier,251,Library Headquarters,"2385 Orange Blossom Dr, Naples, FL",34109
Collier,252,Pelican Marsh Community Center,"1504 Pelican Marsh Blvd, Naples, FL",34109
Collier,255,Pelican Bay Community Center,"8960 Hammock Oak Dr, Naples, FL",34108
Collier,257,Covenant Church of Naples PCA,"6926 Trail Blvd, Naples, FL",34108
Collier,258,Veterans Community Park,"1895 Veterans Park Dr, Naples, FL",34109
Collier,303,Cornerstone United Methodist Church,"8200 Immokalee Rd, Naples, FL",34119
Collier,304,Heritage Bay Government Services Center,"15450 Collier Blvd, Naples, FL",34120
Collier,305,Naples Church,"10910 Immokalee Rd, Naples, FL",34120
Collier,310,St. Monica's Episcopal Church,"7070 Immokalee Rd, Naples, FL",34119
Collier,313,Greater Naples Fire Admin HQ,"14575 Collier Blvd, Naples, FL",34119
Collier,315,Island Walk Town Center,"6155 Towncenter Cir, Naples, FL",34119
Collier,317,Vineyards Community Park,"6231 Arbor Blvd W, Naples, FL",34119
Collier,322,VFW Post # 7721,"800 Neffs Way, Naples, FL",34119
Collier,323,Golden Gate Community Center,"4701 Golden Gate Pkwy SW, Naples, FL",34116
Collier,324,Naples Ward LDS Church,"4935 23rd CT SW, Naples, FL",34116
Collier,350,Golden Gate Assembly of God,"3899 29th Ave SW, Naples, FL",34117
Collier,351,St. Agnes Parish Center,"7775 Vanderbilt Beach Rd, Naples, FL",34120
Collier,414,Faith Lutheran Church,"4150 Goodlette Rd N, Naples, FL",34103
Collier,418,Humane Society Naples,"370 Airport Pulling Rd N, Naples, FL",34104
Collier,428,Freedom Park,"1515 Golden Gate Pkwy, Naples, FL",34105
Collier,430,St. Paul's Episcopal Church,"3901 Davis Blvd, Naples, FL",34104
Collier,431,Berkshire Lakes Clubhouse,"495 Belville Blvd, Naples, FL",34104
Collier,434,East Naples Community Park,"3500 Thomasson Dr, Naples, FL",34112
Collier,435,Glades Community Center,"186 Teryl Rd, Naples, FL",34112
Collier,438,Mayflower Congregation UCC,"2900 County Barn Rd, Naples, FL",34112
Collier,439,Riviera Golf Estates Clubhouse,"425 Charlemagne Blvd, Naples, FL",34112
Collier,440,Naples Church of Christ,"12760 Livingston Rd, Naples, FL",34105
Collier,450,Supervisor of Elections Office,"3750 Enterprise Ave, Naples, FL",34104
Collier,462,St. John's Episcopal Church,"500 Park Shore Dr, Naples, FL",34103
Collier,464,Moorings Presbyterian Church,"791 Harbour Dr, Naples, FL",34103
Collier,472,River Park Community Center,"301 11th St N, Naples, FL",34102
Collier,475,Baker Park,"100 Riverside Cir, Naples, FL",34102
Collier,477,St. Ann Catholic Church Rooney Hall,"985 3rd St S, Naples, FL",34102
Collier,479,Oasis Naples Church,"1074 10th St N, Naples, FL",34102
Collier,502,Everglades City Hall,"102 Copeland Ave N, Everglades City, FL",34139
Collier,552,Max A Hasse Jr Community Park,"3390 Golden Gate Blvd W, Naples, FL",34117
Collier,554,Greater Naples Fire Station # 71,"100 13th St SW, Naples, FL",34117
Collier,590,Collier County University Extension,"14700 Immokalee Rd, Naples, FL",34120
Collier,591,Cypress Ward LDS Church,"2575 Everglades Blvd, Naples, FL",34120
Collier,592,Big Corkscrew Island Regional Park,"810 39th Ave NE, Naples, FL",34120
Collier,593,The Club at Maple Ridge,"4995 Brigata Way, Ave Maria, FL",34142
Collier,594,Immokalee Community Park,"321 N 1st St, Immokalee, FL",34142
Collier,595,Ave Maria Master Association,"5080 Annunciation Cir # 101, Ave Maria, FL",34142
Columbia,15,DEEP CREEK COMMUNITY CENTER,"11934 N US HIGHWAY 441, LAKE CITY, FL",32055
Columbia,16,WINFIELD COMMUNITY CENTER,"1324 NW WINFIELD ST, LAKE CITY, FL",32055
Columbia,17,RICHARDSON COMMUNITY CENTER,"255 NE COACH ANDERS LANE, LAKE CITY, FL",32055
Columbia,18,WINFIELD COMMUNITY CENTER,"1324 NW WINFIELD ST, LAKE CITY, FL",32055
Columbia,19,WATERTOWN POLLING LOCATION,"2118 NE WASHINGTON ST, Lake City, FL",32055
Columbia,21,WESTSIDE COMMUNITY CENTER,"432 SW BIRLEY AVE, LAKE CITY, FL",32024
Columbia,22,FORT WHITE COMMUNITY CENTER,"17579 SW STATE ROAD 47 AVE, Fort White, FL",32038
Columbia,23,COLUMBIA CITY POLLING LOCATION,"1614 SW BISHOP RD, Lake City, FL",32024
Columbia,31,WESTSIDE COMMUNITY CENTER,"432 SW BIRLEY AVE, LAKE CITY, FL",32024
Columbia,33,SOUTHSIDE REC COMPLEX-COACH BLDG,"1114 SW KUHN RD, LAKE CITY, FL",32024
Columbia,41,WATERTOWN POLLING LOCATION,"2118 NE WASHINGTON ST, Lake City, FL",32055
Columbia,42,LULU COMMUNITY CENTER,"205 SE COMMUNITY DR, LULU, FL",32061
Columbia,43,MASON CITY COMMUNITY CENTER,"11110 US 441, LAKE CITY, FL",32025
Columbia,45,MASON CITY COMMUNITY CENTER,"11110 US 441, LAKE CITY, FL",32025
Columbia,46,COLUMBIA CITY POLLING LOCATION,"1614 SW BISHOP RD, Lake City, FL",32024
Columbia,47,FORT WHITE COMMUNITY CENTER,"17579 SW STATE ROAD 47 AVE, Fort White, FL",32038
Columbia,48,FORT WHITE COMMUNITY CENTER,"17579 SW STATE ROAD 47 AVE, Fort White, FL",32038
Columbia,50,WATERTOWN POLLING LOCATION,"2118 NE WASHINGTON ST, Lake City, FL",32055
Columbia,51,SOUTHSIDE REC COMPLEX-COACH BLDG,"1114 SW KUHN RD, LAKE CITY, FL",32024
Columbia,52,COLUMBIA CITY POLLING LOCATION,"1614 SW BISHOP RD, Lake City, FL",32024
Columbia,110,RICHARDSON COMMUNITY CENTER,"255 NE COACH ANDERS LANE, LAKE CITY, FL",32055
Columbia,112,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Columbia,132,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Columbia,444,WATERTOWN POLLING LOCATION,"2118 NE WASHINGTON ST, Lake City, FL",32055
Columbia,513,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Columbia,533,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Columbia,553,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Columbia,554,SUPERVISOR OF ELECTIONS,"971 W DUVAL ST, LAKE CITY, FL",32055
Dixie,01,1 - FIRST DIST.COM. BLDG,"9333 NE 349 Hwy, Old Town, Fl, FL",32680
Dixie,02,2 - MASONIC LODGE,"325 NE 134 St, Cross City, FL",32628
Dixie,04,4 - SCHOOL BD MTG. FACILITY,"841 SE 349 Hwy, Old Town, FL",32680
Dixie,05,5 - SUWANNEE COM. CENTER,"23465 SE 349 Hwy, Suwannee, FL",32692
Dixie,06,6 - 55A COM. BUILDING,"1950 SE 55A Hwy, Cross City, FL",32628
Dixie,07,7 - WARD AVE.,"103 SE 45 Ave, Cross City, FL",32628
Dixie,09,9 - CITY HALL,"99 NE 210 Ave, Cross City, FL",32628
Dixie,10,10 - COUNTY BLDG.,"376 SE 242 St, Cross City, FL",32628
Dixie,11,11 - JENA COM. CENTER,"62 SW 812 St, Steinhatchee, FL",32359
Dixie,12,12 - HORSESHOE BCH CITY HALL,"18 5th Ave E, Horseshoe Beach, FL",32648
Duval,101,Saint Andrews Episcopal Church,"7801 Lone Star RD, Jacksonville, FL",32211
Duval,102,University Park Branch Library,"3435 University Blvd N, Jacksonville, FL",32277
Duval,103,Regency Square Branch Library,"9900 Regency Square Blvd, Jacksonville, FL",32225
Duval,104,River Reach Baptist Church,"8150 Lone Star Rd, Jacksonville, FL",32211
Duval,105,Terry Parker Baptist Church,"7024 Merrill Rd, Jacksonville, FL",32277
Duval,106,Blue Cypress Community Center,"4012 University Blvd N, Jacksonville, FL",32277
Duval,107,Arlington Baptist Church,"6009 Arlington Rd, Jacksonville, FL",32211
Duval,108,The Central Church of the Nazarene,"2130 University Blvd N, Jacksonville, FL",32211
Duval,109,Arlington Congregational Church,"431 University Blvd N, Jacksonville, FL",32211
Duval,110,Fort Caroline Christian Church,"7535 Ft Caroline Rd, Jacksonville, FL",32277
Duval,111,Destination Church of the Assembly of God,"88 Arlington Rd N, Jacksonville, FL",32211
Duval,201,Victory Celebration Church,"3220 New Berlin Rd, Jacksonville, FL",32226
Duval,202,The River at Jacksonville Church,"1820 Monument Rd, Jacksonville, FL",32225
Duval,203,Faith Chapel Free Will Baptist Church,"635 Lee Rd, Jacksonville, FL",32225
Duval,204,Cedar Bay Baptist Church,"11553 Main St N, Jacksonville, FL",32218
Duval,205,Dunns Creek Baptist Church,"1425 Starratt Rd, Jacksonville, FL",32218
Duval,206,Resurrection Episcopal Church,"12355 Ft Caroline Rd, Jacksonville, FL",32225
Duval,207,Police Athletic League / Monument Road,"3450 Monument Rd, Jacksonville, FL",32225
Duval,208,Christ's Church River City Campus,"2311 Starratt Rd, Jacksonville, FL",32226
Duval,209,Monument Pointe Fellowship,"13720 Mt Pleasant Rd, Jacksonville, FL",32225
Duval,210,Sisters Creek Marina,"8203 Heckscher Dr, Jacksonville, FL",32226
Duval,211,Spirit of Life Lutheran Church,"2636 New Berlin Rd, Jacksonville, FL",32226
Duval,212,Black Hammock Island Community Center,"15770 Sawpit Rd, Jacksonville, FL",32226
Duval,301,Queen's Harbor Yacht & Country Club,"238 Queens Harbor Blvd, Jacksonville, FL",32225
Duval,302,Fire Station #58,"251 Joeandy Rd, Jacksonville, FL",32225
Duval,303,Coastal Baptist Church,"750 Girvin Rd, Jacksonville, FL",32225
Duval,304,Jacksonville Golf and Country Club,"3985 Hunt Club Rd, Jacksonville, FL",32224
Duval,305,Chets Creek Church,"4420 Hodges Blvd, Jacksonville, FL",32224
Duval,306,East Pointe Baptist Church,"270 Kernan Blvd N, Jacksonville, FL",32225
Duval,307,Chets Creek Church,"4420 Hodges Blvd, Jacksonville, FL",32224
Duval,308,The Woods Community Center,"2130 The Woods Dr E, Jacksonville, FL",32246
Duval,309,Kernan Blvd Baptist Church,"4000 Kernan Blvd S, Jacksonville, FL",32224
Duval,310,The Windsor of San Pablo,"4000 San Pablo Pkwy, Jacksonville, FL",32224
Duval,311,CrossRoad Church,"10005 Gate Pkwy N, Jacksonville, FL",32246
Duval,312,Pablo Creek Regional Library,"13295 Beach Blvd, Jacksonville, FL",32246
Duval,401,Glendale Community Church,"6411 Beach Blvd, Jacksonville, FL",32216
Duval,402,Iglesia Pentecostal Presencia De Dios,"2361 Cortez Rd, Jacksonville, FL",32246
Duval,403,Restoration Church - Lot 2,"9724 Arnold Rd, Jacksonville, FL",32216
Duval,404,Holiday Hill Baptist Church,"730 Mandalay Rd, Jacksonville, FL",32216
Duval,405,Harvest Time Christian Fellowship,"33 -1 S Arlington Rd, Jacksonville, FL",32216
Duval,406,Southside Community Center,"10080 Beach Blvd, Jacksonville, FL",32246
Duval,407,Southpoint Baptist Church,"3335 Tiger Hole Rd, Jacksonville, FL",32216
Duval,408,Dean Road Church of Christ,"1968 Dean Rd, Jacksonville, FL",32216
Duval,409,Ramallah Club of Jacksonville,"3130 Parental Home Rd, Jacksonville, FL",32216
Duval,410,St. Barnabas Anglican Church,"2140 St Johns Bluff Rd S, Jacksonville, FL",32246
Duval,501,Balis Community Center / San Marco,"1513 La Salle St, Jacksonville, FL",32207
Duval,502,St. Nicholas Park Christian Church,"3226 Beach Blvd, Jacksonville, FL",32207
Duval,503,Cuba Hunter Community Center,"3620 Bedford Rd, Jacksonville, FL",32207
Duval,504,Southside Methodist Church,"3120 Hendricks Ave, Jacksonville, FL",32207
Duval,505,Hendricks Avenue Baptist Church,"4001 Hendricks Ave, Jacksonville, FL",32207
Duval,506,Englewood Baptist Church,"5675 Kennerly Rd, Jacksonville, FL",32207
Duval,507,San Jose Church of Christ,"6233 San Jose Blvd, Jacksonville, FL",32217
Duval,508,Christ the Messiah Church,"7576 San Jose Blvd, Jacksonville, FL",32217
Duval,509,Jacksonville Community Church,"8111 Old Kings Rd S, Jacksonville, FL",32217
Duval,510,Community Hospice of NE FL,"4266 Sunbeam Rd, Jacksonville, FL",32257
Duval,511,Mandarin Senior Center,"3848 Hartley Rd, Jacksonville, FL",32257
Duval,601,Italian American Club,"2838 Westberry Rd, Jacksonville, FL",32223
Duval,602,All Souls Anglican Church,"4042 Hartley Rd, Jacksonville, FL",32257
Duval,603,Mandarin Branch Library,"3330 Kori Rd, Jacksonville, FL",32257
Duval,604,Mandarin Presbyterian Church,"2501 Loretto Rd, Jacksonville, FL",32223
Duval,605,Episcopal Church of Our Savior,"12236 Mandarin Rd, Jacksonville, FL",32223
Duval,606,South Mandarin Branch Library,"12125 San Jose Blvd, Jacksonville, FL",32223
Duval,607,Mandarin Moose Lodge #42,"4450 Losco Rd, Jacksonville, FL",32257
Duval,608,Freedom Christian Fellowship,"3423 Loretto Rd, Jacksonville, FL",32223
Duval,609,Burnett Park Recreation Center,"3740 Burnett Park Rd, Jacksonville, FL",32257
Duval,610,St. Justin Martyr,"12460 Old St Augustine Rd, Jacksonville, FL",32258
Duval,611,Holiday Inn Bartram Park,"13934 Village Lake Cir, Jacksonville, FL",32258
Duval,612,Mandarin Church of Christ,"12791 Old St Augustine Rd, Jacksonville, FL",32258
Duval,701,First Baptist Church Downtown,"600 N Main St, Jacksonville, FL",32202
Duval,702,Dallas Graham Branch Library,"2304 Myrtle Ave N, Jacksonville, FL",32209
Duval,703,CWA (AFL-CIO) Local #3106,"4076 Union Hall Pl, Jacksonville, FL",32205
Duval,704,Grace Baptist Church,"1553 E 21st St, Jacksonville, FL",32206
Duval,705,St. Johns Presbyterian Church,"4275 Herschel St, Jacksonville, FL",32210
Duval,706,Beaver Street Enterprise Center,"1225 Beaver St W, Jacksonville, FL",32204
Duval,707,Trinity Lutheran Church - ELCA,"1415 McDuff Ave S, Jacksonville, FL",32205
Duval,708,Saint Catherine's Episcopal Church,"4758 Shelby Ave, Jacksonville, FL",32210
Duval,709,Grace Church of Avondale,"1656 Edgewood Ave S, Jacksonville, FL",32205
Duval,710,Riverside Park United Methodist Church,"819 Park St, Jacksonville, FL",32204
Duval,711,Ortega Methodist Church,"4807 Roosevelt Blvd, Jacksonville, FL",32210
Duval,712,Mary Singleton Senior Center,"150 1st St E, Jacksonville, FL",32206
Duval,801,Oceanway Community Center,"12215 Sago Ave W, Jacksonville, FL",32218
Duval,802,Gardenview Baptist Church,"3139 Armsdale Rd, Jacksonville, FL",32218
Duval,803,New Life Community United Methodist Church,"11100 Wingate Rd, Jacksonville, FL",32218
Duval,804,First Timothy Baptist Church,"12103 Biscayne Blvd, Jacksonville, FL",32218
Duval,805,Riverview Senior Center,"9620 Water St, Jacksonville, FL",32208
Duval,806,Pecan Park Baptist Church,"162 Park Ave, Jacksonville, FL",32218
Duval,807,Our Redeemer Lutheran Church,"5401 Dunn Ave, Jacksonville, FL",32218
Duval,808,Highlands Baptist Church,"2159 Broward Rd, Jacksonville, FL",32218
Duval,809,Highlands Regional Library,"1826 Dunn Ave, Jacksonville, FL",32218
Duval,810,Dinsmore Community Center,"7126 Civic Club Dr, Jacksonville, FL",32219
Duval,811,Connect Church,"13056 Perdue Rd, Jacksonville, FL",32218
Duval,901,Evangel Temple Assembly of God,"5755 Ramona Blvd, Jacksonville, FL",32205
Duval,902,Mary Lena Gibbs Community Center,"6974 Wilson Blvd, Jacksonville, FL",32210
Duval,903,Redemption Church,"2000 Lane Ave S, Jacksonville, FL",32210
Duval,904,Oak Hill Church of the Nazarene,"4151 Old Middleburg Rd N, Jacksonville, FL",32210
Duval,905,Cedar Creek Baptist Church,"1372 Lane Ave S, Jacksonville, FL",32205
Duval,906,Teamsters 512,"1210 Lane Ave N, Jacksonville, FL",32254
Duval,907,Wesconnett Church of Christ,"5223 Wesconnett Blvd, Jacksonville, FL",32210
Duval,908,Potter's House International Ministries,"5119 Normandy Blvd, Jacksonville, FL",32205
Duval,909,City Rescue Mission,"426 McDuff Ave S, Jacksonville, FL",32254
Duval,910,Wallace Small Senior Center,"1083 Line St, Jacksonville, FL",32209
Duval,911,Edith Brown-Ford Community Center,"2839 Beaver St W, Jacksonville, FL",32254
